Statistical profiling result from isolate-0x103001e00-v8.log, (1096 ticks, 20 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.1%  LazyCompile: ~parseValues /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/qs/lib/parse.js:17:39
      1    0.1%    0.1%  LazyCompile: ~onwrite _stream_writable.js:450:17
      1    0.1%    0.1%  LazyCompile: ~onevent /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/ee-first/index.js:81:26
      1    0.1%    0.1%  LazyCompile: ~onParserExecuteCommon _http_server.js:519:31
      1    0.1%    0.1%  LazyCompile: ~onParserExecute _http_server.js:482:25
      1    0.1%    0.1%  LazyCompile: ~onFinish /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/on-finished/index.js:95:20
      1    0.1%    0.1%  LazyCompile: ~next /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/express/lib/router/index.js:178:16
      1    0.1%    0.1%  LazyCompile: ~matchLayer /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/express/lib/router/index.js:555:20
      1    0.1%    0.1%  LazyCompile: ~matchHeader _http_outgoing.js:416:21
      1    0.1%    0.1%  LazyCompile: ~logRequest /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/morgan/index.js:116:24
      1    0.1%    0.1%  LazyCompile: ~isstats /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/etag/index.js:105:17
      1    0.1%    0.1%  LazyCompile: ~initAsyncResource internal/timers.js:46:27
      1    0.1%    0.1%  LazyCompile: ~howMuchToRead _stream_readable.js:351:23
      1    0.1%    0.1%  LazyCompile: ~handle /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/express/lib/router/layer.js:86:49
      1    0.1%    0.1%  LazyCompile: ~handle /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/express/lib/application.js:157:29
      1    0.1%    0.1%  LazyCompile: ~getResponseTime /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/morgan/index.js:330:45
      1    0.1%    0.1%  LazyCompile: ~get net.js:1612:6
      1    0.1%    0.1%  LazyCompile: ~get _stream_duplex.js:119:6
      1    0.1%    0.1%  LazyCompile: ~fresh /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/fresh/index.js:21:15
      1    0.1%    0.1%  LazyCompile: ~first /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/ee-first/index.js:24:15
      1    0.1%    0.1%  LazyCompile: ~fastparse /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/parseurl/index.js:95:20
      1    0.1%    0.1%  LazyCompile: ~endReadableNT _stream_readable.js:1125:23
      1    0.1%    0.1%  LazyCompile: ~enabled /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/express/lib/application.js:420:31
